Spalte 2,Spalte 5
"−0,21%","270,38 B AUD"
"+0,09%","231,44 B AUD"
"−0,31%","134,11 B AUD"
"−0,21%","130,04 B AUD"
"−1,01%","110,37 B AUD"
"−0,74%","93,29 B AUD"
"−2,38%","85,22 B AUD"
"−0,06%","74,99 B AUD"
"+0,54%","68,22 B AUD"
"+0,06%","64,68 B AUD"
"−0,21%","54,6 B AUD"
"−0,62%","45,32 B AUD"
"−0,47%","44,19 B AUD"
"+1,16%","38,18 B AUD"
"−1,22%","35,83 B AUD"
"−0,27%","35,74 B AUD"
"+0,34%","34,11 B AUD"
"−1,00%","31,38 B AUD"
"−1,89%","30,35 B AUD"
"−1,48%","29,02 B AUD"
"−0,77%","26,48 B AUD"
"−1,29%","24,67 B AUD"
"−2,80%","24,26 B AUD"
"+0,04%","22,96 B AUD"
"−0,71%","21,99 B AUD"
"−0,78%","20,02 B AUD"
"0,00%","19,77 B AUD"
"−2,32%","19,61 B AUD"
"−0,09%","19,47 B AUD"
"−0,73%","19,3 B AUD"
"−0,06%","19,17 B AUD"
"−1,37%","19,02 B AUD"
"−0,21%","17,17 B AUD"
"+0,57%","15,63 B AUD"
"−0,77%","15,57 B AUD"
"−1,18%","14,32 B AUD"
"−0,16%","13,82 B AUD"
"−1,24%","13,3 B AUD"
"+6,31%","13,27 B AUD"
"+0,34%","12,84 B AUD"
"+0,08%","12,64 B AUD"
"−0,11%","12,3 B AUD"
"−3,20%","11,98 B AUD"
"−2,18%","11,79 B AUD"
"+0,39%","11,78 B AUD"
"−1,40%","11,66 B AUD"
"−0,77%","11,62 B AUD"
"−0,31%","11,31 B AUD"
"−1,01%","11,27 B AUD"
"−0,20%",11 B AUD
"−0,71%","10,78 B AUD"
"−0,62%","10,58 B AUD"
"−0,03%","10,56 B AUD"
"+0,11%","10,14 B AUD"
"−0,24%","9,37 B AUD"
"−0,28%","8,98 B AUD"
"+0,42%","8,86 B AUD"
"+1,50%","8,4 B AUD"
"−2,42%","8,39 B AUD"
"+0,21%","8,37 B AUD"
"+0,70%","8,25 B AUD"
"0,00%","8,24 B AUD"
"+1,13%","8,16 B AUD"
"−0,90%","8,16 B AUD"
"−0,68%","8,12 B AUD"
"−0,28%","8,04 B AUD"
