Spalte 2,Spalte 5
"+1,79%","194,4 B EUR"
"+1,91%","187,69 B EUR"
"+0,28%","159,58 B EUR"
"+1,55%","141,4 B EUR"
"+0,64%","139,89 B EUR"
"−0,20%","80,13 B EUR"
"+1,16%",70 B EUR
"−1,39%","59,65 B EUR"
"+2,10%","56,97 B EUR"
"+0,83%","56,57 B EUR"
"+0,20%","55,61 B EUR"
"+0,06%","55,01 B EUR"
"+0,27%","53,46 B EUR"
"+0,16%","48,6 B EUR"
"+2,17%","46,25 B EUR"
"−4,16%","44,77 B EUR"
"+0,41%","43,46 B EUR"
"+1,62%","38,91 B EUR"
"+1,11%","38,46 B EUR"
"+0,74%","38,28 B EUR"
"+0,15%","36,24 B EUR"
"+1,64%","32,19 B EUR"
"+0,88%","30,02 B EUR"
"−0,04%","29,04 B EUR"
"+2,22%","27,72 B EUR"
"−0,05%","23,29 B EUR"
"+0,40%","23,2 B EUR"
"+0,85%","21,44 B EUR"
"+0,47%","14,62 B EUR"
"+1,18%","11,82 B EUR"
"+2,34%","11,02 B EUR"
"+0,15%","10,53 B EUR"
"+1,17%","10,47 B EUR"
"−0,82%","8,49 B EUR"
"−0,15%","7,82 B EUR"
"−1,62%","5,46 B EUR"
"+1,58%","4,97 B EUR"
