Spalte 2,Spalte 5
"−1,64%","4,52 T USD"
"−1,43%","3,79 T USD"
"−0,95%","3,56 T USD"
"+1,41%","2,62 T USD"
"+0,94%","898,48 B USD"
"−0,37%","895,05 B USD"
"−0,21%","679,07 B USD"
"+0,32%","501,52 B USD"
"+2,09%","354,76 B USD"
"+1,49%","327,38 B USD"
"+1,26%","316,42 B USD"
"+1,47%","314,09 B USD"
"+1,80%","295,75 B USD"
"−0,57%","293,55 B USD"
"+0,05%","282,39 B USD"
"+0,39%","280,25 B USD"
"+0,66%","279,19 B USD"
"+2,69%","276,8 B USD"
"+0,55%","261,97 B USD"
"−1,43%","245,79 B USD"
"+0,70%","218,13 B USD"
"+0,26%","202,09 B USD"
"−1,18%","181,79 B USD"
"+1,18%","180,74 B USD"
"+1,09%","171,05 B USD"
"+2,06%","129,27 B USD"
"+0,89%","94,42 B USD"
"+0,05%","86,58 B USD"
"+0,92%","82,91 B USD"
"+0,60%","63,55 B USD"
