Spalte 2,Spalte 5
"−1,49%","150,14 B EUR"
"−4,09%","127,46 B EUR"
"−0,57%","110,99 B EUR"
"+5,82%","90,34 B EUR"
"−2,92%","63,45 B EUR"
"+0,11%","38,73 B EUR"
"−0,26%","35,11 B EUR"
"−0,58%","30,97 B EUR"
"−1,48%","29,52 B EUR"
"−0,07%","25,16 B EUR"
"−0,38%","23,13 B EUR"
"−0,38%","20,23 B EUR"
"−2,63%","18,83 B EUR"
"−2,20%","15,99 B EUR"
"−6,53%","15,53 B EUR"
"−1,85%","12,23 B EUR"
"−2,43%","12,01 B EUR"
"−2,38%","10,31 B EUR"
"−0,24%","9,05 B EUR"
"−1,14%","7,99 B EUR"
"−1,31%","7,76 B EUR"
"−2,13%","7,65 B EUR"
"−2,40%","7,62 B EUR"
"−2,02%","7,27 B EUR"
"−1,56%","5,95 B EUR"
"−2,03%","4,48 B EUR"
"−0,21%","3,77 B EUR"
"−0,44%","3,59 B EUR"
"−0,98%","3,46 B EUR"
"−2,16%","3,05 B EUR"
"−0,31%","3,02 B EUR"
"−1,72%","2,78 B EUR"
"−2,05%","1,89 B EUR"
