Spalte 2,Spalte 5
"−3,08%","468,98 B USD"
"+0,68%","365,14 B USD"
"+0,24%","296,76 B USD"
"−0,91%","276,97 B USD"
"+0,42%","275,21 B USD"
"+0,63%","270,93 B USD"
"+1,57%","256,63 B USD"
"−0,08%","253,41 B USD"
"−0,24%","236,04 B USD"
"−1,60%","233,39 B USD"
"+1,00%","221,25 B USD"
"+0,68%","197,48 B USD"
"+0,69%","173,51 B USD"
"+1,07%","170,1 B USD"
"−4,27%","160,71 B USD"
"+3,19%","155,85 B USD"
"−0,19%","154,94 B USD"
"+0,22%","146,98 B USD"
"+0,29%","146,4 B USD"
"+0,88%","146,25 B USD"
"−0,69%","144,14 B USD"
"+1,23%","142,32 B USD"
"−2,94%","139,52 B USD"
"−1,47%","138,55 B USD"
"+0,32%","135,89 B USD"
"0,00%","134,73 B USD"
"+0,63%","132,08 B USD"
"+0,67%","127,91 B USD"
"+3,34%","126,06 B USD"
"+2,62%","123,53 B USD"
"+0,57%","119,78 B USD"
"+0,22%",117 B USD
"+1,38%","115,91 B USD"
"+0,24%","109,9 B USD"
"+0,18%","105,24 B USD"
"+0,65%","104,41 B USD"
"+0,08%","103,22 B USD"
"+2,67%","102,77 B USD"
"+1,84%","97,74 B USD"
"−0,07%","96,82 B USD"
"−0,56%","86,04 B USD"
"+0,42%","81,94 B USD"
"0,00%","80,89 B USD"
"+0,76%","80,52 B USD"
"−0,04%","79,08 B USD"
"+0,27%","76,85 B USD"
"+0,36%","60,82 B USD"
"+2,44%","47,18 B USD"
