Spalte 2,Spalte 5
"+0,57%","312,82 B EUR"
"+1,52%","219,86 B EUR"
"+1,04%","189,54 B EUR"
"+0,75%","169,18 B EUR"
"−4,09%","137,68 B EUR"
"−0,12%","132,74 B EUR"
"+0,18%","125,92 B EUR"
"−0,04%","115,43 B EUR"
"+0,13%","100,23 B EUR"
"+0,10%","90,16 B EUR"
"+2,72%","88,04 B EUR"
"−0,07%","82,95 B EUR"
"−0,12%","69,3 B EUR"
"+0,21%","57,36 B EUR"
"+0,26%","55,18 B EUR"
"+1,21%","52,39 B EUR"
"+2,03%","48,35 B EUR"
"+1,27%","45,8 B EUR"
"−2,90%","41,17 B EUR"
"+1,59%","38,43 B EUR"
"+0,21%","37,3 B EUR"
"+1,13%","34,75 B EUR"
"−3,06%","33,34 B EUR"
"+0,17%","32,27 B EUR"
"−0,71%","24,94 B EUR"
"+0,95%","22,23 B EUR"
"−2,43%","22,03 B EUR"
"+0,18%","21,71 B EUR"
"−0,03%","20,17 B EUR"
"+3,00%","18,09 B EUR"
"+0,89%","17,68 B EUR"
"+0,21%","13,58 B EUR"
"−0,72%","12,58 B EUR"
"+0,06%","12,57 B EUR"
"−1,45%","12,47 B EUR"
"0,00%","12,44 B EUR"
"+0,44%","11,24 B EUR"
"0,00%","10,42 B EUR"
"−3,84%","10,04 B EUR"
