Spalte 2,Spalte 5
"−1,94%","5,62 T HKD"
"−3,65%","1,24 T HKD"
"−2,20%","739,45 B HKD"
"−6,50%","721,07 B HKD"
"−2,74%","616,31 B HKD"
"−4,30%","603,49 B HKD"
"−2,45%","537,05 B HKD"
"−2,70%","392,25 B HKD"
"−4,44%","382,78 B HKD"
"−2,56%","359,95 B HKD"
"−2,96%","333,67 B HKD"
"−4,01%","329,11 B HKD"
"−0,13%","285,49 B HKD"
"−1,20%","279,97 B HKD"
"−0,86%","271,09 B HKD"
"−3,00%","248,03 B HKD"
"−1,17%","238,8 B HKD"
"+2,13%","216,41 B HKD"
"−1,29%","210,36 B HKD"
"−5,45%","205,69 B HKD"
"−4,52%","194,78 B HKD"
"−0,69%","194,37 B HKD"
"−3,79%","178,25 B HKD"
"−2,77%","168,24 B HKD"
"0,00%","167,66 B HKD"
"+0,30%","166,87 B HKD"
"+0,27%","161,45 B HKD"
"+5,02%","155,18 B HKD"
"−1,77%","154,87 B HKD"
"−4,09%","149,86 B HKD"
"−0,88%","147,54 B HKD"
"−3,04%","142,78 B HKD"
"−4,96%",137 B HKD
"+0,14%","134,54 B HKD"
"−0,44%","131,69 B HKD"
"+0,43%","129,7 B HKD"
"+0,57%","125,64 B HKD"
"−2,86%","115,57 B HKD"
"−1,81%","109,03 B HKD"
"−0,50%","107,51 B HKD"
"−5,50%","106,64 B HKD"
"−1,48%","105,85 B HKD"
"−4,05%","99,46 B HKD"
"−0,47%","95,53 B HKD"
"−1,95%","95,41 B HKD"
"−1,73%","95,18 B HKD"
"−1,35%","94,82 B HKD"
"−8,13%","92,56 B HKD"
"−5,16%","87,77 B HKD"
"−1,81%","85,91 B HKD"
"+0,08%","84,59 B HKD"
"−3,13%","82,92 B HKD"
"−1,51%","74,88 B HKD"
"−1,75%","73,24 B HKD"
"−2,16%","72,98 B HKD"
"−1,37%","66,31 B HKD"
"−1,10%","61,44 B HKD"
"−1,18%","58,13 B HKD"
"−2,36%","56,22 B HKD"
"+0,57%","44,25 B HKD"
"−2,12%","43,96 B HKD"
"−0,57%","38,84 B HKD"
"−6,79%","33,66 B HKD"
"−0,22%",32 B HKD
"−2,69%","31,94 B HKD"
