Spalte 2,Spalte 5
"−0,98%","111,78 B EUR"
"−0,96%","100,56 B EUR"
"−0,18%","91,58 B EUR"
"−1,46%","67,22 B EUR"
"−1,01%","51,57 B EUR"
"+1,98%","51,11 B EUR"
"+2,11%","33,39 B EUR"
"−1,30%","31,05 B EUR"
"−1,22%","28,39 B EUR"
"+0,77%","27,92 B EUR"
"−2,85%","26,41 B EUR"
"−1,57%","22,81 B EUR"
"+0,26%","20,34 B EUR"
"+0,35%","19,13 B EUR"
"−1,43%","18,75 B EUR"
"−0,16%","18,02 B EUR"
"−0,61%","14,37 B EUR"
"−3,10%","13,53 B EUR"
"−0,12%","13,43 B EUR"
"−2,06%","13,35 B EUR"
"−3,20%","13,32 B EUR"
"−1,18%","12,72 B EUR"
"−1,20%","10,02 B EUR"
"+0,43%","9,68 B EUR"
"−2,36%","9,18 B EUR"
"+0,61%","7,77 B EUR"
"−1,30%","7,54 B EUR"
"−1,44%","7,22 B EUR"
"+0,14%","6,66 B EUR"
"−0,13%","6,5 B EUR"
"−1,41%","5,91 B EUR"
"+4,38%","5,83 B EUR"
"−1,16%","5,58 B EUR"
"+1,31%","5,53 B EUR"
"−0,91%","5,24 B EUR"
"+0,39%","5,21 B EUR"
"−4,21%","4,35 B EUR"
"−0,33%","3,95 B EUR"
"+1,02%","3,13 B EUR"
