Spalte 2,Spalte 5
"+1,53%","4,56 T USD"
"−0,73%","3,96 T USD"
"−0,12%","3,65 T USD"
"+3,28%","3,46 T USD"
"+2,06%","2,56 T USD"
"+1,72%","1,66 T USD"
"−1,67%","1,52 T USD"
"−0,07%","1,49 T USD"
"−0,08%","938,33 B USD"
"+0,52%","449,81 B USD"
"+0,73%","436,43 B USD"
"+2,35%","422,77 B USD"
"+2,23%","404,23 B USD"
"+3,09%","393,52 B USD"
"+0,35%","294,71 B USD"
"−1,25%","273,74 B USD"
"+1,13%","255,63 B USD"
"−17,03%","224,66 B USD"
"+1,33%","210,86 B USD"
"+0,35%","208,08 B USD"
"+0,85%","198,77 B USD"
"+0,12%","197,69 B USD"
"−0,35%","185,75 B USD"
"−0,67%","185,64 B USD"
"+0,18%","179,51 B USD"
"+0,47%","177,23 B USD"
"−0,86%","175,65 B USD"
"+3,65%","168,65 B USD"
"−1,25%","166,88 B USD"
"−1,02%","164,34 B USD"
"+2,97%","156,94 B USD"
"−0,95%","149,64 B USD"
"+0,34%","148,1 B USD"
"−0,49%","140,6 B USD"
"−1,15%","125,59 B USD"
"+0,45%","123,59 B USD"
"−2,63%","123,15 B USD"
"+0,23%","118,84 B USD"
"−0,28%","114,07 B USD"
"+1,87%",111 B USD
"−0,76%","108,35 B USD"
"+0,24%","106,77 B USD"
"−0,76%","104,3 B USD"
"−1,59%","95,93 B USD"
"+0,60%","90,27 B USD"
"−0,20%","89,32 B USD"
"+0,39%","86,65 B USD"
"−0,61%","85,79 B USD"
"+0,35%","83,76 B USD"
"−1,23%","81,34 B USD"
"−2,84%","80,82 B USD"
"+1,37%","80,12 B USD"
"−0,26%","79,2 B USD"
"−0,06%","77,16 B USD"
"+1,42%","75,36 B USD"
"−0,12%","73,91 B USD"
"+0,78%","70,83 B USD"
"+2,40%","68,23 B USD"
"−3,45%","68,04 B USD"
"−1,26%","64,07 B USD"
"−0,47%","62,29 B USD"
"+0,82%","60,99 B USD"
"+5,18%","60,71 B USD"
"−1,81%","58,51 B USD"
"+0,09%","57,24 B USD"
"+0,41%","55,4 B USD"
"−0,99%","53,21 B USD"
"−0,93%","52,98 B USD"
"−0,19%","51,02 B USD"
"−1,20%","50,96 B USD"
"−1,99%","50,39 B USD"
"+0,57%","49,78 B USD"
"+0,96%","48,38 B USD"
"−3,25%","47,29 B USD"
"+1,32%","46,87 B USD"
"−0,85%","45,63 B USD"
"+1,92%","45,41 B USD"
"−1,21%","44,51 B USD"
"−1,12%","44,37 B USD"
"+1,43%","44,13 B USD"
"+0,03%","43,87 B USD"
"−0,51%","40,63 B USD"
"−1,01%","40,38 B USD"
"+0,22%","40,36 B USD"
"+0,31%","40,08 B USD"
"−0,52%","38,28 B USD"
"+0,76%","37,71 B USD"
"−2,22%","36,45 B USD"
"−2,59%","36,34 B USD"
"+2,58%","34,66 B USD"
"+0,63%","33,43 B USD"
"−2,61%","33,32 B USD"
"−0,21%","30,39 B USD"
"−1,43%","28,42 B USD"
"−1,00%","27,8 B USD"
"−0,51%","27,78 B USD"
"+2,11%","27,46 B USD"
