Spalte 2,Spalte 5
"+0,15%","450,05 B EUR"
"−0,91%","109,74 B EUR"
"−1,55%","68,43 B EUR"
"−2,39%","44,05 B EUR"
"+1,25%","38,66 B EUR"
"−0,32%","38,31 B EUR"
"−0,22%","34,63 B EUR"
"−0,82%","34,19 B EUR"
"0,00%","28,49 B EUR"
"−1,68%","25,09 B EUR"
"−2,01%","23,61 B EUR"
"−0,56%","22,52 B EUR"
"+1,30%","19,07 B EUR"
"−0,24%","17,33 B EUR"
"−0,49%","16,33 B EUR"
"−0,33%","16,14 B EUR"
"0,00%","15,45 B EUR"
"+0,67%","14,86 B EUR"
"+0,03%","14,13 B EUR"
"−0,79%","12,44 B EUR"
"−0,90%","10,16 B EUR"
"−1,24%","9,75 B EUR"
"+2,05%","8,71 B EUR"
"−1,19%","6,66 B EUR"
"−1,77%","5,08 B EUR"
"+0,70%","4,6 B EUR"
