Spalte 2,Spalte 5
"−3,34%","47,23 T JPY"
"−3,16%","31,71 T JPY"
"−3,74%","24,4 T JPY"
"−3,11%","24,21 T JPY"
"−2,38%","22,08 T JPY"
"−2,27%","21,31 T JPY"
"−0,41%","19,11 T JPY"
"−1,93%","19,02 T JPY"
"+0,32%","17,22 T JPY"
"−2,56%","16,73 T JPY"
"−1,99%","15,87 T JPY"
"−0,46%","15,47 T JPY"
"−2,83%","15,28 T JPY"
"−2,97%","14,68 T JPY"
"−1,75%","14,43 T JPY"
"−2,71%","14,39 T JPY"
"−0,83%","13,42 T JPY"
"−2,59%","12,44 T JPY"
"+0,72%","12,11 T JPY"
"−3,29%","11,15 T JPY"
"−4,32%","11,11 T JPY"
"−2,28%","10,43 T JPY"
"−0,56%","10,22 T JPY"
"−0,73%","10,09 T JPY"
"−1,08%","10,02 T JPY"
"−3,07%","8,59 T JPY"
"−2,73%","8,59 T JPY"
"−1,11%","8,11 T JPY"
"−6,94%","8,06 T JPY"
"−3,39%","7,92 T JPY"
"−3,05%","7,61 T JPY"
"+0,78%","7,37 T JPY"
"−3,74%","6,6 T JPY"
"−0,13%","6,21 T JPY"
"−3,81%","6,15 T JPY"
"−3,47%","6,1 T JPY"
"−3,51%","6,09 T JPY"
"−1,72%","6,08 T JPY"
"−1,91%","5,85 T JPY"
"−0,96%","5,84 T JPY"
"−1,95%","5,78 T JPY"
"−1,04%","5,76 T JPY"
"−2,70%","5,44 T JPY"
"−4,51%","5,36 T JPY"
"−0,45%","5,24 T JPY"
"−2,74%","5,17 T JPY"
"−1,96%","5,12 T JPY"
"−3,45%","5,1 T JPY"
"−2,12%","5,03 T JPY"
"−2,29%","4,98 T JPY"
"+1,70%","4,94 T JPY"
"−0,13%","4,93 T JPY"
"−2,28%","4,89 T JPY"
"−1,27%","4,7 T JPY"
"−0,14%","4,58 T JPY"
"−0,68%","4,48 T JPY"
"−2,71%","4,48 T JPY"
"−3,58%","4,47 T JPY"
"−4,00%","4,43 T JPY"
"−2,04%","4,21 T JPY"
"−0,45%","4,19 T JPY"
"−1,62%","4,18 T JPY"
"−2,06%","4,07 T JPY"
"−0,75%","3,95 T JPY"
