Spalte 2,Spalte 5
"+1,53%","4,56 T USD"
"−0,73%","3,96 T USD"
"−0,12%","3,65 T USD"
"+3,28%","3,46 T USD"
"+2,06%","2,56 T USD"
"+1,72%","1,66 T USD"
"−1,67%","1,52 T USD"
"−0,07%","1,49 T USD"
"−2,12%","1,01 T USD"
"−0,08%","938,33 B USD"
"−1,95%","810,47 B USD"
"−0,06%","623,73 B USD"
"+1,00%","569,19 B USD"
"+0,76%","530,38 B USD"
"−0,57%",509 B USD
"−1,52%","471,21 B USD"
"+0,52%","449,81 B USD"
"+0,73%","436,43 B USD"
"+2,35%","422,77 B USD"
"+2,23%","404,23 B USD"
"+3,09%","393,52 B USD"
"+0,55%","387,59 B USD"
"+0,72%","382,05 B USD"
"−1,39%","377,69 B USD"
"+0,15%","350,86 B USD"
"+0,04%","335,69 B USD"
"+0,50%","322,71 B USD"
"+1,41%","313,5 B USD"
"−0,38%","309,98 B USD"
"+0,35%","294,71 B USD"
"−3,36%","293,23 B USD"
"−2,23%","284,42 B USD"
"−3,75%","275,6 B USD"
"−1,25%","273,74 B USD"
"−0,76%","273,35 B USD"
"−1,23%","272,97 B USD"
"+1,75%","269,33 B USD"
"−0,92%","268,51 B USD"
"−0,21%","262,7 B USD"
"+1,13%","255,63 B USD"
"−1,72%","249,15 B USD"
"−2,11%","235,19 B USD"
"−17,03%","224,66 B USD"
"+1,05%","220,23 B USD"
"−0,02%","213,68 B USD"
"+1,33%","210,86 B USD"
"+0,35%","208,08 B USD"
"−1,79%","203,24 B USD"
"+0,85%","198,77 B USD"
"−1,97%","198,13 B USD"
"+0,12%","197,69 B USD"
"+0,29%","197,45 B USD"
"−1,10%","186,79 B USD"
"−0,35%","185,75 B USD"
"−0,67%","185,64 B USD"
"−0,99%","184,82 B USD"
"−0,86%","184,33 B USD"
"−2,86%","183,56 B USD"
"−1,80%","181,57 B USD"
"−0,59%","178,47 B USD"
"+0,47%","177,23 B USD"
"−0,31%","176,63 B USD"
"−0,86%","175,65 B USD"
"−1,40%","172,94 B USD"
"−1,50%","171,69 B USD"
"−0,30%","171,03 B USD"
"−0,12%","170,17 B USD"
"+3,65%","168,65 B USD"
"+0,04%","167,24 B USD"
"−1,25%","166,88 B USD"
"+0,10%","166,63 B USD"
"−2,11%",166 B USD
"−1,02%","164,34 B USD"
"−1,15%","161,58 B USD"
"+2,97%","156,94 B USD"
"+0,65%","155,23 B USD"
"−0,95%","149,64 B USD"
"−1,72%","145,84 B USD"
"−0,49%","140,6 B USD"
"−1,52%","139,13 B USD"
"+3,54%","138,22 B USD"
"−7,56%","138,14 B USD"
"+1,34%","137,19 B USD"
"−0,52%","136,71 B USD"
"−0,74%","136,22 B USD"
"−1,01%","135,78 B USD"
"+2,15%","135,65 B USD"
"+0,48%","131,58 B USD"
"−0,45%","129,33 B USD"
"−0,84%","128,65 B USD"
"+0,95%","126,06 B USD"
"−1,15%","125,59 B USD"
"+0,45%","123,59 B USD"
"+1,55%","121,53 B USD"
"+0,38%","120,91 B USD"
"−0,43%","120,82 B USD"
"+0,23%","118,84 B USD"
"−0,00%","118,42 B USD"
"−1,20%","117,1 B USD"
"−0,28%","114,07 B USD"
"−0,53%","111,25 B USD"
"+1,87%",111 B USD
"−1,81%","108,08 B USD"
"+0,97%","107,45 B USD"
"+0,24%","106,77 B USD"
"+0,40%","105,38 B USD"
"−0,76%","104,3 B USD"
"+1,44%","103,93 B USD"
"−1,07%","102,96 B USD"
"+0,48%","101,95 B USD"
"+0,39%","101,24 B USD"
"−0,81%","98,6 B USD"
"−0,70%","98,13 B USD"
"+0,03%","96,39 B USD"
"−0,64%","96,28 B USD"
"+0,70%","96,2 B USD"
"+0,37%","96,04 B USD"
"−1,59%","95,93 B USD"
"−1,17%","93,49 B USD"
"+0,10%","92,35 B USD"
"−1,21%","91,61 B USD"
"−0,24%","91,32 B USD"
"+0,60%","90,27 B USD"
"+1,39%","89,73 B USD"
"−0,20%","89,32 B USD"
"+2,65%","86,74 B USD"
"+0,39%","86,65 B USD"
"+1,28%","86,42 B USD"
"−1,29%","86,4 B USD"
"−0,60%","86,4 B USD"
"−1,26%","86,22 B USD"
"−1,18%","86,04 B USD"
"−0,61%","85,79 B USD"
"−1,00%","85,64 B USD"
"+0,35%","83,76 B USD"
"+1,02%","83,68 B USD"
"−1,72%","82,97 B USD"
"−0,33%","82,45 B USD"
"−1,33%","82,2 B USD"
"−1,23%","81,34 B USD"
"−2,14%","80,94 B USD"
"−2,84%","80,82 B USD"
"+1,37%","80,12 B USD"
"−1,07%","79,97 B USD"
"−0,09%","79,93 B USD"
"+0,15%","79,84 B USD"
"+1,93%","79,33 B USD"
"−0,26%","79,2 B USD"
"−2,45%","79,12 B USD"
"−1,94%","78,93 B USD"
"+0,20%","78,03 B USD"
"−0,19%","77,69 B USD"
"−0,06%","77,16 B USD"
"−1,49%","76,49 B USD"
"+1,42%","75,36 B USD"
"−0,55%","74,92 B USD"
"−0,46%","74,55 B USD"
"−1,80%","74,33 B USD"
"−0,12%","73,91 B USD"
"−0,34%","73,43 B USD"
"+0,81%","72,8 B USD"
"−1,81%","71,53 B USD"
"+0,78%","70,83 B USD"
"−0,58%","70,33 B USD"
"−0,00%","69,9 B USD"
"+0,99%","69,85 B USD"
"−5,88%","69,44 B USD"
"−0,80%","69,42 B USD"
"+0,74%","69,29 B USD"
"+0,29%","68,57 B USD"
"+2,40%","68,23 B USD"
"+0,86%","67,36 B USD"
"+1,05%","66,9 B USD"
"−0,29%","66,35 B USD"
"−0,39%","65,79 B USD"
"−3,25%","65,7 B USD"
"+1,13%","65,02 B USD"
"−1,26%","64,07 B USD"
"−1,45%","63,41 B USD"
"−0,47%","62,29 B USD"
"−0,27%","61,95 B USD"
"+0,04%","61,3 B USD"
"+0,82%","60,99 B USD"
"+5,18%","60,71 B USD"
"−0,20%","60,31 B USD"
"+1,89%","58,78 B USD"
"−1,81%","58,51 B USD"
"−2,77%","58,5 B USD"
"−3,87%","58,48 B USD"
"−1,02%","58,17 B USD"
"−2,06%","57,49 B USD"
"+0,09%","57,24 B USD"
"+0,11%","57,06 B USD"
"−0,27%","57,03 B USD"
"−1,12%","56,13 B USD"
"+0,22%","56,09 B USD"
"−0,74%","55,99 B USD"
"−0,18%","55,88 B USD"
"+0,41%","55,4 B USD"
"+0,27%","54,67 B USD"
"−0,28%","54,67 B USD"
"−0,15%","54,25 B USD"
"+0,85%","54,04 B USD"
"−1,09%","54,03 B USD"
"−0,99%","53,21 B USD"
"−0,93%","52,98 B USD"
"−0,22%","52,72 B USD"
"−0,19%","51,02 B USD"
"−1,20%","50,96 B USD"
"−0,55%","50,89 B USD"
"−0,53%","50,82 B USD"
"−0,83%","50,67 B USD"
"−1,99%","50,39 B USD"
"−0,55%","50,36 B USD"
"−0,82%","50,3 B USD"
"−1,44%","49,95 B USD"
"+0,57%","49,78 B USD"
"−1,38%","49,59 B USD"
"+0,70%","49,5 B USD"
"−0,71%","49,08 B USD"
"+1,54%","48,95 B USD"
"−0,94%","48,54 B USD"
"+0,20%","48,45 B USD"
"+0,96%","48,38 B USD"
"−0,24%","48,26 B USD"
"−1,76%","46,98 B USD"
"−2,26%","46,14 B USD"
"−0,85%","45,63 B USD"
"+1,92%","45,41 B USD"
"−1,21%","44,51 B USD"
"−1,44%","44,38 B USD"
"−1,12%","44,37 B USD"
"−0,25%","44,31 B USD"
"+1,43%","44,13 B USD"
"−3,36%","43,96 B USD"
"+0,03%","43,87 B USD"
"−1,50%","43,71 B USD"
"+2,20%","43,45 B USD"
"−0,36%","42,47 B USD"
"−0,29%","42,31 B USD"
"+0,94%","41,65 B USD"
"−0,37%","41,62 B USD"
"+0,02%","41,11 B USD"
"+2,55%","40,66 B USD"
"−0,51%","40,63 B USD"
"+2,71%","40,6 B USD"
"+0,02%","40,53 B USD"
"−1,01%","40,38 B USD"
"+0,31%","40,08 B USD"
"−1,56%","40,07 B USD"
"+2,45%",40 B USD
"+0,02%","39,65 B USD"
"−1,06%","39,65 B USD"
"−0,91%","39,56 B USD"
"−1,54%","39,34 B USD"
"−0,40%","39,17 B USD"
"−1,41%","39,07 B USD"
"+0,08%","39,02 B USD"
"+0,29%","38,77 B USD"
"−2,58%","38,29 B USD"
"−0,52%","38,28 B USD"
"+0,76%","37,71 B USD"
"+0,48%","37,71 B USD"
"−0,99%","37,69 B USD"
"+0,67%","37,49 B USD"
"+0,21%","37,47 B USD"
"+0,54%","37,05 B USD"
"−1,16%","36,84 B USD"
