Spalte 2,Spalte 5
"−1,06%","211,43 B GBP"
"+0,15%","210,55 B GBP"
"+0,50%","152,42 B GBP"
"+1,39%","110,43 B GBP"
"+1,00%","106,07 B GBP"
"+0,72%","105,22 B GBP"
"+0,35%","93,94 B GBP"
"−0,19%","72,65 B GBP"
"+1,57%","68,38 B GBP"
"−1,06%","66,35 B GBP"
"−0,25%","59,73 B GBP"
"+0,42%","59,2 B GBP"
"+2,12%","59,14 B GBP"
"+2,21%","58,65 B GBP"
"−0,14%",53 B GBP
"−1,04%","51,64 B GBP"
"+0,50%","44,47 B GBP"
"−1,38%","41,26 B GBP"
"−1,57%","40,43 B GBP"
"−0,71%","38,07 B GBP"
"−1,18%","37,24 B GBP"
"+1,08%","36,45 B GBP"
"+1,91%","35,33 B GBP"
"+0,45%","33,83 B GBP"
"+0,49%","32,45 B GBP"
"+2,06%","30,71 B GBP"
"−1,88%","29,05 B GBP"
"−0,26%","27,87 B GBP"
"+0,43%","27,69 B GBP"
"−0,74%","26,26 B GBP"
"+0,43%","24,39 B GBP"
"+0,37%","23,87 B GBP"
"−0,27%","21,72 B GBP"
"−2,79%","19,1 B GBP"
"−5,17%","18,83 B GBP"
"+0,75%","18,34 B GBP"
"−0,37%","15,62 B GBP"
"−1,23%","15,3 B GBP"
"+0,04%","14,53 B GBP"
"−0,46%","14,14 B GBP"
"−1,57%","13,74 B GBP"
"−0,24%","13,28 B GBP"
"−0,50%","13,13 B GBP"
"+0,25%","13,12 B GBP"
"+0,42%","12,08 B GBP"
"−2,54%","11,68 B GBP"
"−0,81%","10,4 B GBP"
"−0,76%","9,87 B GBP"
"+0,64%","9,74 B GBP"
"−0,57%","8,47 B GBP"
"+1,35%","8,32 B GBP"
"0,00%","8,25 B GBP"
"−1,00%","8,19 B GBP"
"−1,16%","8,13 B GBP"
"−5,76%","8,12 B GBP"
"−1,77%","8,01 B GBP"
"+0,47%","7,98 B GBP"
"−1,29%","7,79 B GBP"
"−0,45%","7,41 B GBP"
"−0,06%","7,28 B GBP"
"−0,68%","7,25 B GBP"
"−0,35%","7,23 B GBP"
"−1,08%","7,16 B GBP"
"−1,13%","7,08 B GBP"
"−0,95%","6,96 B GBP"
"−0,66%","6,96 B GBP"
"+3,23%","6,79 B GBP"
"−0,73%","6,68 B GBP"
"−1,63%","6,63 B GBP"
"+0,46%","6,13 B GBP"
"−0,88%","5,9 B GBP"
"−0,61%","5,89 B GBP"
"−0,51%","5,49 B GBP"
"−1,36%","5,43 B GBP"
"−1,24%","5,42 B GBP"
"+0,03%","5,4 B GBP"
"−0,70%","5,31 B GBP"
"−2,78%","5,28 B GBP"
"+0,27%","4,88 B GBP"
"−0,63%","4,85 B GBP"
"+0,14%","4,79 B GBP"
"−0,55%","4,73 B GBP"
"+0,20%","4,67 B GBP"
"0,00%","4,63 B GBP"
"−0,75%","4,6 B GBP"
"−1,10%","4,56 B GBP"
"−0,39%","4,51 B GBP"
"−0,83%","4,3 B GBP"
"−6,20%","4,28 B GBP"
"−0,24%","4,1 B GBP"
"−2,34%","4,09 B GBP"
"+0,39%","3,92 B GBP"
"−1,46%","3,86 B GBP"
"−0,39%","3,85 B GBP"
"+0,56%","3,85 B GBP"
"−0,40%","3,81 B GBP"
"−2,98%","3,64 B GBP"
"−0,89%","3,43 B GBP"
